url,name,main_category,sub_category,options,option_price,collect_date
https://www.crossmall.co.kr/mall/m_mall_detail.php?ps_ctid=64410000&partner_id=&ps_goid=69281,381. 베온 울트라슬림 맥세이프 고속 무선충전 보조배터리 5000mAh (CTOC 20CM 케이블 포함),브랜드 정품샵,베온,블랙 | 화이트 |,"15,500원",2024-11-05 18:25:22
https://www.crossmall.co.kr/mall/m_mall_detail.php?ps_ctid=64410000&partner_id=&ps_goid=69259,056. 맥씨 강화유리 필름 (5매) / iPhone 16 Plus / 아이폰 16 플러스,브랜드 정품샵,베온,,"2,500원",2024-11-05 18:25:27
https://www.crossmall.co.kr/mall/m_mall_detail.php?ps_ctid=64410000&partner_id=&ps_goid=68660,420. 베온 더셀 접이식 포트 도킹형 보조배터리 4800mAh (메인 C타입 젠더+8핀 케이블),브랜드 정품샵,베온,블랙 | 화이트 |,"6,000원",2024-11-05 18:25:30
https://www.crossmall.co.kr/mall/m_mall_detail.php?ps_ctid=64410000&partner_id=&ps_goid=68570,157. 베온 듀얼 아머 클리어 케이스 / iPhone 16 pro / 아이폰 16 프로,브랜드 정품샵,베온,,"2,370원",2024-11-05 18:25:33
https://www.crossmall.co.kr/mall/m_mall_detail.php?ps_ctid=64410000&partner_id=&ps_goid=68569,157. 베온 듀얼 아머 클리어 케이스 / iPhone 16 Plus / 아이폰 16 플러스,브랜드 정품샵,베온,,"2,370원",2024-11-05 18:25:36
https://www.crossmall.co.kr/mall/m_mall_detail.php?ps_ctid=64410000&partner_id=&ps_goid=68568,157. 베온 듀얼 아머 클리어 케이스 / iPhone 16 / 아이폰 16,브랜드 정품샵,베온,,"2,370원",2024-11-05 18:25:40
